TimeStamp,Iteration[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],RD_BW[Gbit/s],WR_BW[Gbit/s],faults[#],first_faulty_address[byte],PowOfTwoBytes
2021-11-15,1,65536,4096,1024,73.935,79.7663,0,0,16
2021-11-15,2,65536,4096,1024,74.0018,79.7663,0,0,16
2021-11-15,1,65536,2048,1024,73.935,79.7663,0,0,16
2021-11-15,2,65536,2048,1024,73.935,79.7663,0,0,16
2021-11-15,1,65536,1024,1024,73.8683,79.7663,0,0,16
2021-11-15,2,65536,1024,1024,73.935,79.7663,0,0,16
2021-11-15,1,65536,512,1024,70.1971,79.534,0,0,16
2021-11-15,2,65536,512,1024,70.1971,79.534,0,0,16
2021-11-15,1,65536,256,1024,63.6025,79.2263,0,0,16
2021-11-15,2,65536,256,1024,61.6403,79.2263,0,0,16
2021-11-15,1,65536,128,1024,54.3597,78.618,0,0,16
2021-11-15,2,65536,128,1024,54.3597,78.618,0,0,16
2021-11-15,1,65536,64,1024,40.1963,77.4291,0,0,16
2021-11-15,2,65536,64,1024,38.9169,77.4291,0,0,16
2021-11-15,1,65536,32,1024,26.7538,75.156,0,0,16
2021-11-15,2,65536,32,1024,26.3408,75.156,0,0,16
2021-11-15,1,65536,16,1024,16.6301,70.9879,0,0,16
2021-11-15,2,65536,16,1024,16.5998,70.9879,0,0,16
2021-11-15,1,65536,8,1024,8.89661,63.9002,0,0,16
2021-11-15,2,65536,8,1024,8.9121,63.9002,0,0,16
2021-11-15,1,65536,4,1024,4.73745,53.264,0,0,16
2021-11-15,2,65536,4,1024,4.72679,53.264,0,0,16
2021-11-15,1,65536,2,1024,2.50934,39.961,0,0,16
2021-11-15,2,65536,2,1024,2.51027,39.961,0,0,16
2021-11-15,1,65536,1,1024,1.25565,26.6754,0,0,16
2021-11-15,2,65536,1,1024,1.25492,26.6754,0,0,16
2021-11-15,1,131072,4096,2048,74.6084,79.883,0,0,17
2021-11-15,2,131072,4096,2048,75.9926,79.883,0,0,17
2021-11-15,1,131072,2048,2048,75.9926,79.883,0,0,17
2021-11-15,2,131072,2048,2048,76.0278,79.883,0,0,17
2021-11-15,1,131072,1024,2048,73.7686,79.7663,0,0,17
2021-11-15,2,131072,1024,2048,73.7354,79.7663,0,0,17
2021-11-15,1,131072,512,2048,70.0171,79.6113,0,0,17
2021-11-15,2,131072,512,2048,68.0964,79.6113,0,0,17
2021-11-15,1,131072,256,2048,63.332,79.303,0,0,17
2021-11-15,2,131072,256,2048,63.4547,79.303,0,0,17
2021-11-15,1,131072,128,2048,51.6194,78.6936,0,0,17
2021-11-15,2,131072,128,2048,53.877,78.6936,0,0,17
2021-11-15,1,131072,64,2048,40,77.5024,0,0,17
2021-11-15,2,131072,64,2048,38.8431,77.5024,0,0,17
2021-11-15,1,131072,32,2048,26.413,75.225,0,0,17
2021-11-15,2,131072,32,2048,26.4813,75.225,0,0,17
2021-11-15,1,131072,16,2048,16.5045,71.0494,0,0,17
2021-11-15,2,131072,16,2048,16.5228,71.0494,0,0,17
2021-11-15,1,131072,8,2048,8.88118,63.95,0,0,17
2021-11-15,2,131072,8,2048,8.88118,63.95,0,0,17
2021-11-15,1,131072,4,2048,4.73266,53.2986,0,0,17
2021-11-15,2,131072,4,2048,4.73211,53.2986,0,0,17
2021-11-15,1,131072,2,2048,2.50896,39.9805,0,0,17
2021-11-15,2,131072,2,2048,2.50953,39.9805,0,0,17
2021-11-15,1,131072,1,2048,1.25568,26.671,0,0,17
2021-11-15,2,131072,1,2048,1.25569,26.671,0,0,17
2021-11-15,1,262144,4096,4096,77.3925,79.9414,0,0,18
